| Dep 6 S    | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 6 ML / | P            | P   | P   | P   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| ML1        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 6 ML2  | P            | P   | P   | P   | Px  | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 7 S    | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 7 ML / | P            | P   | P   | P   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| ML1        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 7 ML2  | P            | P   | P   | P   | Px  | 2   | 2   | Px  | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 8 S    | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 8 ML1  | P            | P   | P   | P   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 8 ML / | P            | P   | P   | P   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| ML2        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 9 S    | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 9 ML1  | P            | P   | P   | P   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 9 ML / | P            | P   | P   | P   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| ML2        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 10 S*  | 2            | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 10 ML  | P            | P   | P   | P   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | Px  | 2   | 2   | 2c  | 2c  | 2   | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 11 ML  | P            | P   | P   | P   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2c  | 2   | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 12 ML  | P            | P   | P   | P   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | 2c  | 2   | P   | 2   | P   | P   | P   | P   |
| Dep 13 ML  | P            | P   | P   | P   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | 2   | 2c  | 2c  | 2   | P   | P   | P   | P   |
| Dep 13 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 2c  | 2c  | 2   | 2   | 2   | 2   | 2   |
| Dep 14 ML  | P            | P   | P   | P   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | P   | 2   | 2   | 2   | 2   | 2   | 2c  | 2c  | P   | P   | P   |
| Dep 14 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 2   | 2c  | 2c  | 2   | 2   | 2   |
| Dep 15 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 2   | P   | 2   | 2c  | 2   | 2   |
| Dep 16 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 2   | P   | 2   | 2   | 2c  | 2   |
| Dep 17 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 2   | P   | 2   | 2   | 2   | 2c  |
