| Dep 6 S    | 3            | 3   | 3   | 3   | 3   | 3   | 4   | 3   | 3   | 4   | Px  | 3   | Px  | Px  | 3   | Px  | Px  | 3   | Px  | Px  | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 6 ML / | P            | P   | P   | P   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | Px  | 3   | 3   | Px  | 3   | 3   | Px  | 3   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| ML1        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 6 ML2  | P            | P   | P   | P   | 3   | Px  | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 7 S    | 3            | 3   | 3   | 3   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | Px  | 3   | Px  | Px  | 3   | Px  | Px  | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 7 ML / | P            | P   | P   | P   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | Px  | 3   | 3   | Px  | 3   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| ML1        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 7 ML2  | P            | P   | P   | P   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 8 S    | 3            | 3   | 3   | 3   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | Px  | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 8 ML1  | P            | P   | P   | P   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 8 ML / | P            | P   | P   | P   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| ML2        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 9 S    | 3            | 3   | 3   | 3   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | Px  | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 9 ML1  | P            | P   | P   | P   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | Px  | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 9 ML / | P            | P   | P   | P   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| ML2        |              |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
| Dep 10 S*  | 3            | 3   | 3   | 3   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 3   | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 10 ML  | P            | P   | P   | P   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | Px  | 4   | 3   | 4   | P   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 11 ML  | P            | P   | P   | P   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | 4   | 3   | P   | P   | P   | P   | P   | P   | P   | P   |
| Dep 12 ML  | P            | P   | P   | P   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | 4   | 3   | 3   | P   | P   | P   | P   | P   | P   | P   |
| Dep 13 ML  | P            | P   | P   | P   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | 4   | 3   | 3   | 3   | 3   | P   | P   | P   | P   | P   |
| Dep 13 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 3   | 3   | 3   | P   | P   | P   | P   |
| Dep 14 ML  | P            | P   | P   | P   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | P   | 4   | P   | 4   | 3   | 3   | 3   | 3   | 3   | 3   | P   | P   | P   |
| Dep 14 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 3   | 3   | 3   | P   | P   | P   |
| Dep 15 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 3   | P   | 3   | 3   | P   | P   |
| Dep 16 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 3   | P   | 3   | 3   | 3   | 3   |
| Dep 17 EL  | P            | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | P   | 3   | P   | 3   | 3   | 3   | 3   |
